"year";"ccode";"cname";"ccodealp";"bicc_milexp";"bs_ee";"bs_h";"bti_aar";"bti_ci";"bti_cr";"bti_eo";"bti_foe";"bti_pdi";"bti_pp";"bti_su";"bti_wr";"ciri_assn";"ciri_dommov";"ciri_formov";"epi_access";"epi_eh";"eu_demmlifexpt";"eu_heamdochthab";"eu_heamdocnr";"eu_heamdocp";"ffp_fsi";"ffp_hf";"ffp_ps";"ffp_ref";"fh_pr";"gsd_fr";"hf_govint";"lis_gini";"oecd_doctor_g3";"oecd_evogdp_t1";"sgi_enen";"sgi_so";"sgi_soed";"sgi_sofa";"sgi_sogi";"sgi_sohe";"sgi_soin";"sgi_sope";"sgi_sosi";"sgi_sosl";"wdi_expedu";"wdi_expeduge";"wdi_expedup";"wdi_expedus";"wdi_exph";"wdi_idpvc";"wdi_idpvp";"wdi_refasy";"wdi_refori";"wdi_spr";"wef_ias";"wel_coc";"wvs_hap";"Applied"
2011;616;"Poland";"POL";5.22;6.38400824082228;4.66301184616662;10;2;10;8;9;10;9.75;8;8.5;2;2;2;100;75;76.8;"239.39";"92247";"417.73";44.3;5.3;3.1;3;1;0.807543934847835;50;NA;8.80000019073486;5.01661586761475;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.81036996841431;11.0558700561523;30.7105598449707;34.6441116333008;6.7023798;NA;NA;15847;1815;NA;4.71935923045187;0.597069759;NA;12
2015;616;"Poland";"POL";5.33;7.14675096487755;4.11325582292771;10;2;9;9;10;10;10;7.5;9;NA;NA;NA;100;78.13;77.5;"246.37";"93587";"405.89";40.7;4.2;2.5;3.8;1;0.79854264894985;60;NA;NA;3.94091081619263;6.22387251077809;5.94321753703979;6.83399729098656;5.18833381629091;4.03892215568862;5.3531135965532;5.68523491002115;6.61697003732748;6.20214994130523;7.62701854814519;NA;NA;NA;NA;NA;NA;NA;14065;1297;NA;4.78125135633681;NA;NA;295
2011;620;"Portugal";"PRT";5.18;3.66789974125933;5.51903112868123;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;100;95.25;80.7;NA;NA;NA;34.2;2.9;3.8;1.8;1;0.875053579082726;58;NA;12.1899995803833;-1.8268529176712;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.12613010406494;10.2392301559448;27.6799602508545;43.7109909057617;10.06864127;NA;NA;408;28;NA;5.71978969790795;0.716862053;NA;0
2015;620;"Portugal";"PRT";5.12;4.23067476881182;6.42671457994007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;96.63;81.3;NA;NA;NA;29.2;1.9;2.4;1.9;1;0.813973424774968;62;NA;NA;1.59556353092194;6.23438521318754;5.4757788276717;4.20263753762117;6.37575244410157;3.8622754491018;5.78533554743575;7.02582127228071;4.47428326215187;4.47234213697791;7.60778297170283;NA;NA;NA;NA;NA;NA;NA;853;28;NA;5.36489773085623;NA;NA;22
2011;642;"Romania";"ROU";5.05;NA;NA;10;3;9;7;8;8;9;7;7;1;2;2;100;74.59;74.4;"245.69";"52541";"407.01";59.5;5;4.4;2.9;2;0.705443634804972;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.02827000617981;8.33493041992188;15.8024396896362;34.1601486206055;5.52618204;NA;NA;1005;3428;NA;4.39983516907217;0.462030546;NA;44
2015;642;"Romania";"ROU";5.12;4.65177291348898;3.08606569033718;9;3;8;7;7;8;8.25;7;7;NA;NA;NA;100;79.42;75;"283.16";"56110";"353.15";52.9;4.2;4;3;2;0.694792113159023;43;NA;NA;NA;5.71322064528051;4.46326298180182;4.02757823393843;3.83084631032624;3.09281437125748;5.31915050165878;5.26068465552173;4.64441744929714;3.79486090755727;5.73575142485751;NA;NA;NA;NA;NA;NA;NA;2598;1735;NA;4.77905286650418;NA;NA;546
2011;643;"Russia";"RUS";5.66;NA;NA;4;4;5;5;4;6;5.25;4.5;5.5;0;2;0;100;85.15;NA;NA;NA;NA;77.1;5.4;5;5;6;0.479532790398628;22;NA;NA;4.26417636871338;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.61180659;NA;NA;3914;109785;NA;4.31727465947441;0.292808284;2.9015489;44
2015;643;"Russia";"RUS";5.83;NA;NA;3;4;5;6;4;3;3.5;5;6;NA;NA;NA;100;87;NA;NA;NA;NA;81;4.2;4.4;6;6;0.446142306043721;28;NA;NA;-3.72667336463928;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26607;314507;67020;NA;5.1368915046353;NA;NA;1461
2011;688;"Serbia";"SRB";5.22;NA;NA;9;3;8;7;7;7;8.5;7;7;1;1;1;100;77.73;74.6;"308.76";"22412";"323.88";75;4.7;4.6;6.3;2;0.661401628804115;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.48976993560791;10.6035203933716;45.2564010620117;23.1376705169678;9.72329413;NA;225000;70707;161671;NA;3.8212294447205;0.45011577;NA;33
2015;688;"Serbia";"SRB";5.16;NA;NA;9;3;8;7;7;7;8.5;7;7;NA;NA;NA;100;80.82;75.3;NA;"21840";NA;72;5;4.4;8.6;2;0.594620660094299;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35332;38628;NA;3.88761712989615;NA;NA;245
